Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 91 25
Dim 2: 79 30
Dim 3: 37 6
Object coordinates:
0: 106.846 112.926 106.677 
1: 83.2896 59.3836 93.4791 
2: -0.254802 116.713 76.1237 
3: 74.9866 52.1136 31.5958 
4: 42.3507 100.997 123.039 
5: 114.309 50.6284 92.5364 
6: 58.667 61.8735 148.277 
7: 52.0508 79.4103 118.823 
8: 119.833 117.735 66.5154 
9: 107.898 73.0833 54.4238 
10: 56.3701 105.59 71.9207 
11: 102.652 89.6072 61.5501 
12: 58.1966 75.5349 71.9719 
13: 78.4562 66.7822 146.143 
14: 52.9466 70.1597 74.573 
15: 63.7352 114.019 122.46 
16: 70.2611 128.331 57.0917 
17: 100.922 82.3723 88.9313 
18: 21.2136 87.6917 100.129 
19: 38.2432 125.124 103.857 
20: 91.2003 121.279 57.8393 
21: 79.351 141.021 102.275 
22: 66.3264 129.089 101.629 
23: 88.16 119.963 93.586 
24: 68.8072 73.0829 98.1694 
25: 177 47.8542 97.7652 
26: 68.6052 130.206 134.044 
27: 100.17 -1.74943 72.3649 
28: 91.8411 78.9063 131.076 
29: 102.5 91.4147 126.475 
30: 79.9188 157.39 89.406 
31: 82.2725 90.3943 65.429 
32: 91.0515 43.565 138.071 
33: 19.6611 67.985 76.8478 
34: 56.3242 60.2308 54.0395 
35: 72.6128 59.0914 72.9974 
36: 90.3475 82.9178 118.071 
37: 93.3542 85.4839 0 
38: 99.2277 20.9332 108.236 
39: 94.3565 63.4327 33.2737 
40: 50.513 114.602 30.3738 
41: 22.7575 39.4831 96.3641 
42: 115.241 118.784 50.0457 
43: 58.0757 62.1549 68.4421 
44: 80.9 60.2502 114.769 
45: 19.616 74.0308 114.246 
46: 17.467 93.2745 109.337 
47: 63.1462 135.251 78.6263 
48: 74.87 47.6666 138.053 
49: 123.44 77.2223 122.338 
50: 22.9017 96.7618 94.889 
51: 90.5298 36.429 56.8896 
52: 39.3348 54.274 62.0948 
53: 97.6058 81.2505 119.755 
54: 49.5258 40.1714 127.501 
55: 62.9186 56.7 48.9354 
56: 77.5547 109.878 58.5046 
57: 78.2288 113.802 96.3056 
58: 97.7809 60.1823 35.556 
59: 82.7808 56.714 82.8462 
60: 90.9606 147.749 89.579 
61: 81.6326 129.947 69.3444 
62: 73.116 128.724 81.571 
63: 120.396 84.692 50.56 
64: 60.4406 95.1994 74.8133 
65: 109.989 96.4579 104.518 
66: 52.2979 79.7842 96.5306 
67: 115.049 21.3051 87.0657 
68: 100.732 73.7316 31.205 
69: 68.7034 92.375 86.1127 
70: 105.182 100.155 32.3777 
71: 88.5 63.2128 69.5624 
72: 93.4435 86.043 93.0455 
73: 33.8733 59.6998 72.4565 
74: 106.381 20.7108 102.311 
75: 119.815 88.6919 123.792 
76: 48.8614 61.0452 97.368 
77: 57.8713 24.4189 72.5368 
78: 78.6494 30.5828 73.343 
79: 62.0612 0 89.406 
80: 49.2013 120.048 80.2163 
81: 58.8051 89.1034 51.2616 
82: 85.2261 138.098 68.3094 
83: 66.9951 64.866 127.289 
84: -6.25449 81.1209 76.5024 
85: 112.362 118.522 103.651 
86: 122.526 28.1615 61.3631 
87: 57.9518 59.3065 128.567 
88: 36.6915 75.6845 57.9909 
89: 30.2682 82.5431 124.952 
90: 84.1932 91.2299 138.313 
91: 0 47.8542 97.7652 
92: 57.0293 143.951 75.4394 
93: 80.8836 113.827 51.7918 
94: 55.5254 99.234 37.0401 
95: 90.173 121.188 83.7141 
96: 56.0184 106.884 109.376 
97: 61.5643 27.3247 60.476 
98: 74.7001 82.9321 60.0867 
99: 87.7718 54.0072 54.7835 
