Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 8486 8113
Dim 2: 2182 2996
Dim 3: 8423 5544
Object coordinates:
0: 156.171 117.258 111.308 
1: 62.2576 73.5974 129.64 
2: 107.451 99.5822 165.774 
3: 45.675 106.568 118.506 
4: 112.507 71.8737 120.744 
5: 63.9984 123.001 95.491 
6: 94.9731 127.272 103.297 
7: 75.8196 70.2991 64.0171 
8: 122.101 108.854 142.47 
9: 102.069 81.5717 85.9078 
10: 73.424 105.744 83.1137 
11: 78.491 90.7788 90.6879 
12: 80.3489 101.362 83.2919 
13: 34.4244 110.186 63.9814 
14: 85.3431 91.3097 78.0037 
15: 93.82 118.359 86.2084 
16: 74.6946 107.692 134.498 
17: 109.883 104.881 112.461 
18: 47.2065 60.6982 131.65 
19: 113.347 133.726 93.3267 
20: 50.0436 65.9576 73.0761 
21: 59.3523 81.1065 102.792 
22: 84.7062 94.6966 68.8652 
23: 87.3799 83.4393 94.4045 
24: 70.8091 75.1796 91.205 
25: 159.164 106.234 99.5684 
26: 115.884 142.267 123.445 
27: 100.584 86.8083 122.964 
28: 64.2276 99.7272 147.659 
29: 116.033 132.814 116.223 
30: 145.951 117.532 109.621 
31: 98.7993 100.979 60.3733 
32: 82.3073 53.8166 107.023 
33: 91.082 41.8574 89.7265 
34: 90.0604 116.622 79.7124 
35: 150.561 89.0767 102.126 
36: 97.6734 31.9147 83.0976 
37: 114.191 81.3702 109.262 
38: 92.1916 82.6622 92.2466 
39: 81.9672 154.344 103.447 
40: 73.6955 107.936 91.5326 
41: 120.454 135.458 86.7879 
42: 74.2802 133.181 77.23 
43: 62.4999 95.7508 77.8624 
44: 34.4962 123.225 60.5695 
45: 80.1012 105.212 88.6256 
46: 102.545 152.729 150.498 
47: 70.2698 114.204 101.741 
48: 83.6628 58.8626 66.0962 
49: 85.2943 87.7022 116.223 
50: 50.2786 67.1617 91.6257 
51: 62.9333 79.2914 74.1364 
52: 99.4738 80.7752 56.9352 
53: 88.967 60.203 127.501 
54: 134.181 105.201 131.05 
55: 46.0543 63.0108 97.9862 
56: 57.2203 100.303 82.5231 
57: 136.17 107.023 115.118 
58: 107.118 110.272 97.4885 
59: 131.057 76.7156 78.3932 
60: 47.2809 93.2184 143.439 
61: 56.6673 103.535 99.6759 
62: 111.353 106.656 73.1085 
63: 73.7629 81.4251 94.8655 
64: 52.1559 156.626 75.8727 
65: 58.9253 125.433 69.7134 
66: 69.2079 60.0778 76.1391 
67: 90.0589 54.9709 103.717 
68: 130.317 105.149 107.641 
69: 87.5578 81.0647 111.953 
70: 104.461 81.1247 115.064 
71: 49.656 93.8849 65.5479 
72: 121.82 153.311 98.1989 
73: 153.177 74.7157 137.797 
74: 97.3171 138.084 95.2549 
75: 91.0356 62.3207 97.0642 
76: 80.5917 116.855 158.057 
77: 117.86 65.6189 110.962 
78: 112.972 104.239 61.6236 
79: 111.418 105.642 72.2279 
80: 64.272 44.2529 84.9216 
81: 15.187 82.9713 112.699 
82: 61.5657 78.5096 109.333 
83: 71.0544 73.865 108.908 
84: 115.214 109.182 93.883 
85: 111.285 131.243 44.7594 
86: 23.7284 68.9609 91.1543 
87: 161.094 116.139 107.941 
88: 61.0382 95.5166 90.5123 
89: 83.6889 131.017 69.0857 
90: 145.832 121.293 89.5394 
91: 114.53 49.6674 76.6796 
92: 81.4023 107.545 105.098 
93: 95.4902 131.642 99.848 
94: 89.4358 124.603 115.691 
95: 58.4995 80.4135 80.8 
96: 97.7785 104.21 113.809 
97: 49.039 112.942 100.736 
98: 95.8676 45.9821 104.12 
99: 145.657 131.697 129.987 
100: 114.596 96.9395 121.389 
101: 83.7184 96.8769 21.9759 
102: 109.645 133.117 38.007 
103: 108.423 84.2588 77.081 
104: 63.6081 116.176 153.284 
105: 115.425 159.468 112.14 
106: 45.6148 117.279 107.017 
107: 109.017 114.297 105.755 
108: 103.571 75.2872 116.374 
109: 23.3812 94.5768 116.582 
110: 78.4592 121.115 128.662 
111: 52.08 110.734 65.2666 
112: 107.083 113.248 84.0215 
113: 65.9093 155.773 76.3652 
114: 95.782 87.3994 131.634 
115: 45.5342 112.46 105.998 
116: 82.116 104.795 124.325 
117: 72.9163 119.263 76.8751 
118: 101.225 111.195 70.2275 
119: 86.8643 159.54 61.7766 
120: 104.769 94.8804 128.313 
121: 72.1636 130.686 126.985 
122: 77.6632 114.518 50.0946 
123: 94.576 151.221 134.577 
